home_team,away_team,home_xg,away_xg,pred_home,pred_draw,pred_away,pred_o25,pred_btts,actual_result,actual_home_goals,actual_away_goals,actual_total,actual_o25,actual_btts,entropy,match_type
BARCELONA,OSASUNA,2.7041855796452596,0.7232864168140336,0.7907,0.1338,0.0755,0.669,0.4794,H,3,0,3,1,0,0.9375720007074583,predictable
NEWCASTLE,SHEFFIELD UNITED,2.5428036467743884,0.7848349998222487,0.7554,0.1527,0.0919,0.6444,0.4989,H,5,1,6,1,1,1.0361897384804015,predictable
MALLORCA,REAL MADRID,1.0498337519166117,1.8401208844977417,0.2062,0.2333,0.5605,0.5487,0.5486,A,0,1,1,0,0,1.4277066819014235,balanced
BARCELONA,VALLECANO,2.806901567491278,0.8433007928050049,0.7841,0.1339,0.082,0.6993,0.5339,H,1,0,1,0,0,0.959421625864603,predictable
GENOA,ATALANTA,0.9265232600681653,1.6994770766073588,0.2027,0.2455,0.5518,0.485,0.4915,A,1,4,5,1,1,1.4374911771598682,balanced
MAN CITY,MAN UNITED,2.9594226549359575,1.0049493883476193,0.7644,0.1387,0.0969,0.7564,0.6074,H,3,1,4,1,1,1.0178683144884766,predictable
INTER,LAZIO,2.496358940807895,0.9427683758695018,0.7154,0.1647,0.1199,0.6739,0.5624,H,2,0,2,0,0,1.1411349049283692,predictable
INTER,UDINESE,1.8556253396361166,0.7134574472320584,0.6426,0.2223,0.1351,0.4752,0.4339,H,4,0,4,1,0,1.28240081685072,balanced
BOURNEMOUTH,MAN CITY,1.2270614451472,1.93999579682623,0.2328,0.2293,0.5379,0.5957,0.6061,H,2,1,3,1,1,1.4579322961007162,balanced
M'GLADBACH,HEIDENHEIM,2.1069822272950356,1.4387610023089303,0.5324,0.2078,0.2598,0.6879,0.6731,H,2,1,3,1,1,1.4603889180843037,balanced
GRANADA,MALLORCA,1.5162733200216256,1.0362348656390712,0.4881,0.256,0.2559,0.4724,0.5016,H,3,2,5,1,1,1.5114913472356333,high_uncertainty
ASTON VILLA,BURNLEY,2.178294319087084,0.659974680066895,0.7211,0.1784,0.1005,0.5363,0.4328,H,3,2,5,1,1,1.1169415757247245,predictable
MONACO,MARSEILLE,1.700653918074772,1.4071517387320112,0.4408,0.2342,0.325,0.601,0.6167,H,3,2,5,1,1,1.5383814686308654,high_uncertainty
AUGSBURG,STUTTGART,1.2534499973931121,2.479039340938052,0.1812,0.177,0.6418,0.7232,0.6525,A,0,1,1,0,0,1.2993433784192538,balanced
BOCHUM,DORTMUND,1.1666416477467056,1.6688514810926312,0.2648,0.2414,0.4938,0.5358,0.553,H,2,0,2,0,0,1.5053085180803303,high_uncertainty
LENS,REIMS,2.1374711090547924,1.0488876543648944,0.6222,0.1981,0.1797,0.6108,0.5718,H,2,0,2,0,0,1.3336267199548133,balanced
SOCIEDAD,LAS PALMAS,1.8610483882976399,0.8360694357495987,0.6143,0.2171,0.1686,0.5015,0.4745,H,2,0,2,0,0,1.3432575532038298,balanced
SOCIEDAD,CADIZ,1.9738871138344198,0.7422375469641972,0.666,0.2017,0.1323,0.5095,0.4574,H,2,0,2,0,0,1.2424828811231021,balanced
LENS,STRASBOURG,1.7091405913430902,0.8743533656973368,0.5698,0.2402,0.19,0.476,0.4745,H,3,1,4,1,1,1.4118610686581468,balanced
HOFFENHEIM,HEIDENHEIM,1.846532141008285,1.1354280550955813,0.5366,0.2302,0.2332,0.5722,0.5751,D,1,1,2,0,1,1.4595173778378587,balanced
VALENCIA,SOCIEDAD,1.4203370814170275,1.1688112478850126,0.4314,0.2606,0.308,0.4793,0.5243,A,0,1,1,0,0,1.5521249101966366,high_uncertainty
